sutra_name,primary_category,safety_level,target_dosha,advice_type,"content (Sutra, Meaning, and Key Analysis)"
Tridosha Overview,About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: वायु पित्तं कफश्चेति त्रयों समासतः .... Meaning: Vāta, Pitta, and Kapha are the three Doshas. When vitiated (vikrita), they cause harm; when balanced, they maintain and nourish the body. Analysis: Vāta is below the navel, Pitta between the navel and the heart, and Kapha above the heart."
Temporal Variation of Doshas,About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: वयो ऽ होरात्रिभुक्तानां तेडन्तमध्यादिगाः क्रमात्. Meaning: Vāta predominates in old age, Pitta in youth, and Kapha in childhood. In a day, Kapha is dominant in the morning, Pitta at noon, and Vāta at the end of the day. Analysis: Kapha (sweet/acid) is high while eating, Pitta (acidic) during digestion, and Vāyu (motion) after digestion."
Doshas' Influence on Agni (Digestive Fire),About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: तैर्भवेद्विषमस्तीक्ष्णो मन्दश्रवाग्निः समैः सम. Meaning: Vāta makes the digestive fire irregular (Viṣama); Pitta makes it intense (Tīkṣṇa); Kapha makes it weak (Manda). If Doshas are equal (Sama), the fire is balanced."
Doshas' Influence on Koṣṭha (Bowel Movement),About Ayurveda,LOW,General,Theoretical/Principle,Sutra: कोष्ठः क्रूरो मदुर्भध्यो मध्यः स्यात्तैः समैरपि. Meaning: Vāta causes a hard/constipated bowel movement (Krūra); Pitta causes a soft one (Mṛdu); Kapha causes a moderate one (Madhya). Equal Doshas result in a moderate bowel.
Prakṛti (Constitution) Formation,About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: शुक्रार्तवस्थैर्जन्मादो विषेनेव विषक्रिमेः. Meaning: Prakṛti is formed by the predominance of Doshas in the sperm and ovum at conception. The best constitution is the one with balanced Doshas (Sama). Analysis: Vāta Prakṛti should avoid dry, cold environments; Pitta Prakṛti should avoid heating substances; Kapha Prakṛti should avoid heavy, unctuous substances."
Vāta Guṇa (Qualities),About Ayurveda,LOW,Vāta_Pacifying,Theoretical/Principle,"Sutra: तत्र रूक्षो लघुः शीतः खरः सूक्ष्मश्रलोडनिलः. Meaning: Vāyu has the qualities of dryness (Rūkṣa), lightness (Lagu), coldness (Śīta), roughness (Khara), subtlety (Sūkṣma), and being constantly moving (Calāyamāna). Analysis: Vāyu is increased by dry, cold substances and motion, and reduced by unctuous substances like oil and stability."
Pitta Guṇa (Qualities),About Ayurveda,LOW,Pitta_Pacifying,Theoretical/Principle,"Sutra: पित्तं सस्नेहतीक्ष्णोष्णं लघु विस्त्रं सरं द्रवम्. Meaning: Pitta has slight unctuousness, sharpness (Tīkṣṇa), heat (Uṣṇa), lightness (Lagu), fetid smell (Visra), mobility (Sara), and liquidity (Drava)."
Kapha Guṇa (Qualities),About Ayurveda,LOW,Kapha_Pacifying,Theoretical/Principle,"Sutra: स्निग्धः शीतोगुरूर्मन्दः श्लक्ष्नो मृत्स्नः स्थिरः कफः. Meaning: Kapha has unctuousness (Snigdha), coldness (Śītal), heaviness (Guru), slowness/mildness (Manda), smoothness (Ślakṣṇa), earth-like smell (Mṛtsna), and stability (Sthira)."
Dhatus and Malas,About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: रसासृझ्यांसमेदोऽस्थिमज्जशुक्राणि धातवः । सप्त दूष्याः- मला मूत्रशकृत्स्वेदादयोऽपिच. Meaning: The seven Dhatus (Rasa, Rakta, Māṃsa, Meda, Asthi, Majjā, Śukra) are vitiated by Doshas. Stool (Śakṛt), Urine (Mūtra), and Sweat (Sveda) are Malas (Wastes)."
Principle of Similarity (Sāmānya),About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: वृद्धिः समानैः सर्वेषां विपरीतैविपर्ययः. Meaning: Doshas, Dhatus, and Malas are increased by similar substances, qualities, and actions, and decreased by contrary (opposite) ones."
Six Rasas (Tastes),About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: रसाः स्वाद्वम्ललवणत्तिकोषणकषायकाः शड् द्रव्यमाश्रितास्ते च यथापूर्व बलावहाः. Meaning: The six Tastes are Sweet (Svadū), Sour (Amla), Salty (Lavaṇa), Pungent (Tikta), Hot/Pungent (Kaṭu), and Astringent (Kaṣāya). The preceding taste is sequentially more potent. Analysis: Sweet taste (Earth+Water) nourishes the body the most."
Action of Tastes on Doshas,About Ayurveda,LOW,"Vata_Pacifying, Pitta_Pacifying, Kapha_Pacifying",Theoretical/Principle,"Sutra: तत्राद्या मारूतं धन्ति त्रयस्तिदायः कफम्। कषायतिक्तमधुराः पित्तमन्ये तु कुर्वते. Meaning (Pacifying): Sweet, Sour, Salty pacify Vāta. Pungent, Bitter, Astringent pacify Kapha. Astringent, Bitter, Sweet pacify Pitta. Meaning (Aggravating): Bitter, Hot/Pungent, Astringent increase Vāta. Sweet, Sour, Salty increase Kapha. Sour, Salty, Hot/Pungent increase Pitta."
Vipāka (Post-Digestive Taste),About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: त्रिधा विपाको द्रव्यस्य स्वाद्वम्लकटुकात्मकः. Meaning: Vipāka (taste after digestion) is of three types: Sweet (Svadū), Sour (Amla), and Pungent (Kaṭu). Analysis: Sweet and Salty taste becomes Sweet Vipāka. Sour taste remains Sour Vipāka. Pungent, Bitter, and Astringent tastes become Pungent Vipāka."
Causes of Health and Disease,About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: कालार्थकर्मणां योगो हीनमिध्याऽतिमात्रकः । सम्यग्योश्च विज्ञेयो रोगो रोग्यैक कारणम्. Meaning: Proper combination (Samyak Yoga) of Time (Kāla), Senses (Artha), and Action (Karma) causes health. Improper combination (Heena, Mithyā, Ati Yoga) is the single cause of disease. Analysis: Examples of Mithyā Yoga: Hearing unpleasant words, touching incompatible substances, or eating rotten/incompatible food."
Definition of Health and Disease,About Ayurveda,LOW,General,Theoretical/Principle,"Sutra: रोगस्तु दोषवैषम्यं, दोषसाम्यमरोगता. Meaning: The imbalance (Vaiṣamya) of the Doshas is Disease (Roga), and the equilibrium (Sāmya) of the Doshas is Health (Ārogya)."
Waking Up (Brahma Muhurta),Dinacharya,LOW,General,Lifestyle/Preventive,"Sutra: ब्राहृमें मुहूर्त उत्तिष्ठेत् स्वस्थो रक्षार्थमायुषः. Meaning: A healthy person should wake up during Brahma Muhurta (early morning, around 4 AM) to protect their lifespan. After focusing on bodily needs (Shārīra Chintā), they should perform purification (Śauca Vidhi)."
